Token           Lexeme
-----           ------
separator       #
keyword         integer
identifier      a
separator       ,
identifier      b
separator       ,
identifier      c
separator       ;
keyword         real
identifier      x
separator       ;
keyword         boolean
identifier      flag
separator       ;
identifier      a
operator        =
integer         100
separator       ;
identifier      b
operator        =
integer         50
separator       ;
identifier      c
operator        =
identifier      a
operator        +
identifier      b
separator       ;
identifier      x
operator        =
real            3.14
separator       ;
keyword         if
separator       (
identifier      a
operator        >
identifier      b
separator       )
identifier      flag
operator        =
keyword         true
separator       ;
keyword         else
identifier      flag
operator        =
keyword         false
separator       ;
keyword         fi
keyword         get
separator       (
identifier      a
separator       )
separator       ;
keyword         put
separator       (
identifier      a
separator       )
separator       ;
keyword         while
separator       (
identifier      c
operator        >
integer         0
separator       )
identifier      c
operator        =
identifier      c
operator        -
integer         1
separator       ;
separator       #
